SECNO,REGION,STATE,STATION,LAT,LATITUDE,LONG,LUNIT,LONGITUD,VEGTAT,VEG,SOIL,SOIL2,CMAT,CRR,MCM,MWM,RHIGH,RLOW,RRCORR,TJAN,TFEB,TMAR,TAPR,TMAY,TJUN,TJUL,TAUG,TSEP,TOCT,TNOV,TDEC,TUNIT,RJAN,RFEB,RMAR,RAPR,RMAY,RJUN,RJUL,RAUG,RSEP,ROCT,RNOV,RDEC,RUNIT,ELEV,ELUNIT,COKLM,VEGNU
A,B,BRAZIL,TAPERINHA,S,2.4167,W,DD,54.7000,FE,,O,,26.0093,2096.2620,25.3889,27.0000,361.9500,39.1160,6.0000,25.7778,25.5000,25.5000,25.6111,25.6111,25.3889,25.3889,26.2222,26.7222,27.0000,26.8889,26.5000,C,179.0700,275.0820,357.8860,361.9500,293.1160,173.9900,112.0140,50.0380,39.1160,45.9740,85.0900,122.9360,MM,65.00,FT,555.00,1.00
A,B,BRAZIL,TARACUA,N,0.0667,W,DD,68.2333,FE,,O,,25.0417,3653.5360,24.1111,25.3889,429.0060,214.8840,6.0000,25.2222,25.2778,25.2778,25.2222,24.8889,24.5000,24.1111,24.7222,25.2778,25.3889,25.3889,25.2222,C,320.0400,267.9700,325.8820,421.8940,429.0060,350.0120,314.9600,249.9360,236.9820,214.8840,246.8880,275.0820,MM,344.00,FT,1295.00,1.00
A,B,BRAZIL,TRACATEUA,S,1.0833,W,DD,47.1667,FE,,O,,24.9306,2554.4780,24.2778,25.7778,464.0580,7.8740,3.0000,25.2778,25.0000,24.6111,24.7222,24.6111,24.6111,24.2778,24.5000,24.8889,25.2778,25.6111,25.7778,C,215.9000,425.9580,464.0580,444.2460,360.6800,203.7080,219.2020,109.9820,32.2580,22.3520,7.8740,48.2600,MM,118.00,FT,81.00,1.00
A,B,BRAZIL,UAUPES,S,0.1333,W,DD,67.0833,FE,,O,,25.2269,2915.1580,24.2778,25.8889,316.9920,148.0820,6.0000,25.3889,25.5000,25.6111,25.2778,25.0000,24.5000,24.2778,24.7778,25.3889,25.6111,25.8889,25.5000,C,275.0820,249.9360,284.9880,266.9540,316.9920,249.9360,246.1260,196.0880,148.0820,172.9740,201.9300,306.0700,MM,278.00,FT,1190.00,1.00
A,B,BRAZIL,URUGUAIAN,S,29.7500,W,DD,57.0833,GP,,M,,19.7917,1356.3600,13.5000,26.2778,165.1000,68.0720,-3.0000,26.2778,25.5000,23.6111,19.2222,16.5000,14.2222,13.5000,15.0000,16.8889,19.3889,22.2778,25.1111,C,114.0460,109.9820,121.9200,165.1000,117.0940,104.9020,68.0720,68.0720,102.1080,165.1000,105.9180,114.0460,MM,242.00,FT,538.00,8.00
A,B,CHILE,ANTOFAGAS,S,23.4300,W,DD,70.4700,D,,D,,16.5926,4.2926,13.3889,20.3889,2.0320,0.0254,4.0000,20.3889,20.3889,19.1111,17.2222,15.3889,13.8889,13.3889,13.6111,14.2222,15.5000,17.1111,18.8889,C,0.0254,0.0254,0.0254,0.0254,0.0254,2.0320,1.0160,0.0254,0.0254,1.0160,0.0254,0.0254,MM,2787.00,FT,2.00,28.00
A,B,CHILE,CABO_RAPE,S,46.8333,W,DD,75.5833,FBD,,H,,8.2130,2040.1280,5.7778,10.8889,195.5800,137.6680,5.0000,10.7778,10.8889,10.0000,9.2222,7.7222,6.5000,5.7778,6.0000,6.3889,7.3889,8.3889,9.5000,C,172.7200,146.3040,169.4180,180.8480,191.0080,185.1660,195.5800,167.1320,137.6680,160.2740,163.0680,170.9420,MM,131.00,FT,6.00,12.00
A,B,CHILE,CALDERA,S,27.0500,W,DD,70.8500,D,TA,H,,16.1019,28.1940,13.0000,19.7222,8.8900,0.0000,4.0000,19.7222,19.7222,18.5000,16.6111,14.8889,13.2778,13.0000,13.2222,14.0000,15.1111,16.7778,18.3889,C,0.0000,0.0000,0.0000,1.0160,4.0640,8.8900,6.0960,3.0480,1.0160,2.0320,1.0160,1.0160,MM,45.00,FT,75.00,28.00
A,B,CHILE,CANCHONES,S,20.4167,W,DD,69.5833,TA,,H,,16.7130,0.7620,12.8889,21.2222,0.2540,0.0000,5.0000,21.1111,21.2222,19.2778,17.0000,14.3889,12.8889,12.8889,13.2222,15.7222,16.2222,17.5000,19.1111,C,0.2540,0.2540,0.0000,0.0000,0.0000,0.0000,0.2540,0.0000,0.0000,0.0000,0.0000,0.0000,MM,3149.00,FT,100.00,25.00
A,B,CHILE,I.EVANGEL,S,52.4000,W,DD,68.4333,DSD,,M,,6.4120,2707.3860,4.3889,8.7778,261.6200,203.7080,1.0000,8.7222,8.7778,8.2778,7.2222,6.0000,4.7778,4.3889,4.3889,4.8889,5.5000,6.3889,7.6111,C,237.9980,227.5840,261.6200,257.5560,219.4560,210.3120,219.9640,209.5500,216.6620,203.7080,215.6460,227.3300,MM,16.00,FT,3.00,10.00
